Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		4.6154		4.5390		0.0000		0.2444		0.02500000
2		4.0659		3.5191		0.0000		0.3460		0.02492499
3		3.8690		3.7848		0.0000		0.3533		0.02484995
4		3.8109		3.4750		0.0000		0.3436		0.02477489
5		3.7414		4.0369		0.0000		0.3585		0.02469980
6		3.6735		3.9232		0.0000		0.4309		0.02462469
7		3.6180		3.9041		0.0000		0.4544		0.02454955
8		3.6187		3.7273		0.0000		0.4537		0.02447438
9		3.5470		3.6727		0.0000		0.4585		0.02439919
10		3.5438		3.4657		0.0000		0.4886		0.02432398
11		3.5191		3.6693		0.0000		0.4477		0.02424873
12		3.4786		3.7350		0.0000		0.4882		0.02417347
13		3.4719		3.8858		0.0000		0.4789		0.02409817
14		3.4097		4.1559		0.0000		0.4537		0.02402285
15		3.4392		3.6212		0.0000		0.4819		0.02394751
16		3.3581		3.3665		0.0000		0.5114		0.02387213
17		3.3817		3.4391		0.0000		0.5227		0.02379674
18		3.3615		3.5907		0.0000		0.4817		0.02372131
19		3.3753		3.6377		0.0000		0.4970		0.02364586
20		3.3322		3.6021		0.0000		0.4970		0.02357038
21		3.3511		3.2514		0.0000		0.5468		0.02349487
22		3.3103		3.3688		0.0000		0.5580		0.02341934
23		3.3169		3.7069		0.0000		0.4955		0.02334378
24		3.3267		3.6598		0.0000		0.5153		0.02326819
25		3.3173		3.5487		0.0000		0.5572		0.02319258
26		3.2626		3.6570		0.0000		0.5547		0.02311694
27		3.2813		3.6883		0.0000		0.5325		0.02304127
28		3.2940		3.7420		0.0000		0.5168		0.02296557
29		3.3008		3.4935		0.0000		0.4990		0.02288985
30		3.2774		3.6252		0.0000		0.5426		0.02281409
31		3.2344		3.5753		0.0000		0.5363		0.02273831
32		3.2492		3.4579		0.0000		0.5731		0.02266251
33		3.2469		3.4767		0.0000		0.5541		0.02258667
34		3.2225		3.5915		0.0000		0.5629		0.02251080
35		3.2163		3.5451		0.0000		0.5586		0.02243491
36		3.2190		3.5120		0.0000		0.5671		0.02235899
