Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.8305		0.5683		0.0000		0.3718		0.00050000
1		0.8246		0.9483		0.0000		0.4791		0.00005000
2		0.6623		0.8353		0.0000		0.5023		0.00005000
3		0.5222		0.6835		0.0000		0.5324		0.00005000
4		0.4194		0.6383		0.0000		0.5477		0.00005000
1		0.8242		0.9656		0.0000		0.0215		0.00005000
2		0.6608		0.8214		0.0000		0.0174		0.00005000
1		0.8246		0.9579		0.0000		0.5736		0.00005000
2		0.6616		0.8275		0.0000		0.5857		0.00005000
3		0.5234		0.6817		0.0000		0.5788		0.00005000
4		0.4193		0.6404		0.0000		0.5825		0.00005000
5		0.3840		0.6279		0.0000		0.5822		0.00005000
6		0.3689		0.6160		0.0000		0.5892		0.00005000
7		0.3583		0.6157		0.0000		0.5810		0.00000500
8		0.3558		0.6186		0.0000		0.5814		0.00000500
9		0.3507		0.6105		0.0000		0.5832		0.00000500
10		0.3520		0.6148		0.0000		0.5830		0.00000500
11		0.3518		0.6102		0.0000		0.5855		0.00000500
12		0.3506		0.6107		0.0000		0.5847		0.00000500
13		0.3487		0.6135		0.0000		0.5836		0.00000500
14		0.3489		0.6152		0.0000		0.5847		0.00000050
15		0.3484		0.6141		0.0000		0.5884		0.00000050
16		0.3483		0.6179		0.0000		0.5805		0.00000050
17		0.3470		0.6068		0.0000		0.5859		0.00000050
18		0.3475		0.6137		0.0000		0.5865		0.00000050
19		0.3468		0.6183		0.0000		0.5865		0.00000050
20		0.3484		0.6223		0.0000		0.5820		0.00000050
