Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.2792		0.3822		0.0000		0.7180		0.00005000
2		0.2424		0.3708		0.0000		0.7039		0.00004774
3		0.2239		0.3393		0.0000		0.7140		0.00004548
4		0.1832		0.3012		0.0000		0.7051		0.00004320
5		0.1651		0.2956		0.0000		0.7164		0.00004090
6		0.1598		0.2911		0.0000		0.7265		0.00003859
7		0.1574		0.2917		0.0000		0.7171		0.00003627
8		0.1552		0.2973		0.0000		0.7225		0.00003393
9		0.1533		0.2931		0.0000		0.7058		0.00003157
10		0.1528		0.2917		0.0000		0.7195		0.00002919
11		0.1503		0.2998		0.0000		0.7171		0.00002679
12		0.1490		0.2877		0.0000		0.7131		0.00002437
13		0.1486		0.2937		0.0000		0.7217		0.00002192
14		0.1475		0.2950		0.0000		0.7117		0.00001944
15		0.1468		0.2944		0.0000		0.7180		0.00001692
16		0.1462		0.2961		0.0000		0.7187		0.00001436
17		0.1451		0.2920		0.0000		0.7176		0.00001175
18		0.1441		0.2938		0.0000		0.7226		0.00000907
19		0.1437		0.2939		0.0000		0.7211		0.00000629
20		0.1427		0.2920		0.0000		0.7251		0.00000337
