Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.4116		0.8857		0.0000		0.3092		0.00050000
2		0.7178		0.7104		0.0000		0.3461		0.00049099
3		0.6045		0.7188		0.0000		0.3511		0.00048196
4		0.5432		0.7027		0.0000		0.3856		0.00047292
5		0.5381		0.5633		0.0000		0.4225		0.00046385
6		0.4858		0.5437		0.0000		0.4473		0.00045477
7		0.4585		0.4952		0.0000		0.4749		0.00044566
8		0.4390		0.4927		0.0000		0.4828		0.00043653
9		0.4231		0.4630		0.0000		0.4909		0.00042739
10		0.4071		0.5541		0.0000		0.4373		0.00041822
11		0.3933		0.4799		0.0000		0.4869		0.00040903
12		0.3664		0.4432		0.0000		0.5015		0.00039981
13		0.3590		0.4316		0.0000		0.5094		0.00039057
14		0.3661		0.4112		0.0000		0.5134		0.00038131
15		0.3499		0.4778		0.0000		0.4776		0.00037202
16		0.3323		0.4238		0.0000		0.5180		0.00036271
17		0.3342		0.4013		0.0000		0.5284		0.00035337
18		0.3144		0.3915		0.0000		0.5407		0.00034400
19		0.3148		0.3958		0.0000		0.5249		0.00033460
20		0.3041		0.3750		0.0000		0.5473		0.00032518
21		0.2990		0.3708		0.0000		0.5623		0.00031572
22		0.2955		0.4095		0.0000		0.5426		0.00030624
23		0.2839		0.3662		0.0000		0.5769		0.00029671
24		0.2883		0.3667		0.0000		0.5700		0.00028716
25		0.2691		0.3522		0.0000		0.5600		0.00027757
26		0.2693		0.3651		0.0000		0.5585		0.00026794
27		0.2626		0.4633		0.0000		0.5247		0.00025828
28		0.2671		0.3540		0.0000		0.5735		0.00024857
29		0.2542		0.3463		0.0000		0.5840		0.00023882
30		0.2475		0.3565		0.0000		0.5577		0.00022903
31		0.2582		0.3529		0.0000		0.5711		0.00021919
32		0.2402		0.3324		0.0000		0.5929		0.00020930
33		0.2397		0.3495		0.0000		0.5775		0.00019936
34		0.2257		0.3282		0.0000		0.5980		0.00018937
35		0.2297		0.3372		0.0000		0.5914		0.00017931
36		0.2256		0.3285		0.0000		0.6008		0.00016919
37		0.2129		0.3266		0.0000		0.6142		0.00015901
38		0.2161		0.3364		0.0000		0.6104		0.00014875
39		0.2083		0.3286		0.0000		0.6141		0.00013841
40		0.2025		0.3093		0.0000		0.6216		0.00012798
41		0.1994		0.3224		0.0000		0.6158		0.00011746
42		0.2024		0.3445		0.0000		0.5943		0.00010684
43		0.1984		0.3220		0.0000		0.6114		0.00009609
44		0.1889		0.3178		0.0000		0.6142		0.00008521
45		0.1865		0.3149		0.0000		0.6227		0.00007417
46		0.1838		0.3107		0.0000		0.6287		0.00006295
47		0.1819		0.3193		0.0000		0.6241		0.00005149
48		0.1784		0.3031		0.0000		0.6282		0.00003975
49		0.1757		0.3068		0.0000		0.6322		0.00002759
50		0.1737		0.3010		0.0000		0.6363		0.00001479
