Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.0599		2.3816		0.0000		0.1952		0.00050000
2		0.9879		2.3745		0.0000		0.2353		0.00049099
3		0.8029		2.3205		0.0000		0.2607		0.00048196
4		0.7361		2.2786		0.0000		0.2918		0.00047292
1		2.0826		1.5419		0.0000		0.1893		0.00050000
2		0.9274		0.8754		0.0000		0.2507		0.00049099
3		0.7647		0.7608		0.0000		0.2754		0.00048196
4		0.6799		0.6781		0.0000		0.2975		0.00047292
5		0.6079		0.6279		0.0000		0.3155		0.00046385
6		0.5526		0.5952		0.0000		0.3326		0.00045477
7		0.5320		0.5783		0.0000		0.3349		0.00044566
8		0.5013		0.4949		0.0000		0.3739		0.00043653
9		0.4658		0.4788		0.0000		0.3879		0.00042739
10		0.4938		0.5169		0.0000		0.3774		0.00041822
11		0.4585		0.4746		0.0000		0.3940		0.00040903
12		0.4242		0.4775		0.0000		0.4080		0.00039981
13		0.4021		0.4296		0.0000		0.4253		0.00039057
14		0.3865		0.4109		0.0000		0.4419		0.00038131
15		0.3741		0.4131		0.0000		0.4418		0.00037202
16		0.3703		0.4394		0.0000		0.4257		0.00036271
17		0.3526		0.3875		0.0000		0.4626		0.00035337
18		0.3381		0.3984		0.0000		0.4575		0.00034400
19		0.3286		0.3790		0.0000		0.4836		0.00033460
20		0.3157		0.3547		0.0000		0.4987		0.00032518
21		0.3138		0.3637		0.0000		0.4844		0.00031572
22		0.2985		0.3807		0.0000		0.4765		0.00030624
23		0.3009		0.3542		0.0000		0.4993		0.00029671
24		0.3122		0.3742		0.0000		0.4869		0.00028716
25		0.2973		0.3277		0.0000		0.5225		0.00027757
26		0.2874		0.3211		0.0000		0.5317		0.00026794
27		0.2722		0.3306		0.0000		0.5195		0.00025828
28		0.2620		0.3260		0.0000		0.5323		0.00024857
29		0.2583		0.3064		0.0000		0.5581		0.00023882
30		0.2535		0.3133		0.0000		0.5394		0.00022903
31		0.2470		0.3127		0.0000		0.5434		0.00021919
32		0.2475		0.3111		0.0000		0.5352		0.00020930
33		0.2367		0.2980		0.0000		0.5675		0.00019936
34		0.2302		0.2877		0.0000		0.5710		0.00018937
35		0.2318		0.3034		0.0000		0.5480		0.00017931
36		0.2257		0.2956		0.0000		0.5666		0.00016919
37		0.2200		0.2880		0.0000		0.5846		0.00015901
38		0.2137		0.2770		0.0000		0.6001		0.00014875
39		0.2098		0.2815		0.0000		0.5834		0.00013841
40		0.2086		0.2754		0.0000		0.5867		0.00012798
41		0.2009		0.2641		0.0000		0.6154		0.00011746
42		0.2026		0.2776		0.0000		0.6067		0.00010684
43		0.1935		0.2665		0.0000		0.6123		0.00009609
44		0.1905		0.2644		0.0000		0.6080		0.00008521
45		0.1878		0.2627		0.0000		0.6037		0.00007417
46		0.1828		0.2657		0.0000		0.6111		0.00006295
47		0.1791		0.2641		0.0000		0.6178		0.00005149
48		0.1776		0.2570		0.0000		0.6227		0.00003975
49		0.1743		0.2576		0.0000		0.6223		0.00002759
50		0.1724		0.2512		0.0000		0.6280		0.00001479
