Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.8668		0.6150		0.0000		0.2560		0.00050000
2		0.3597		0.3443		0.0000		0.3531		0.00049099
3		0.3040		0.3208		0.0000		0.3564		0.00048196
4		0.2673		0.2633		0.0000		0.4057		0.00047292
5		0.2475		0.2713		0.0000		0.4004		0.00046385
6		0.2372		0.2925		0.0000		0.3773		0.00045477
7		0.2395		0.2361		0.0000		0.4550		0.00044566
8		0.2156		0.2397		0.0000		0.4493		0.00043653
9		0.2079		0.2246		0.0000		0.4642		0.00042739
10		0.2115		0.2383		0.0000		0.4536		0.00041822
11		0.2054		0.2275		0.0000		0.4688		0.00040903
12		0.1961		0.2135		0.0000		0.4869		0.00039981
13		0.1913		0.2232		0.0000		0.4736		0.00039057
14		0.1937		0.2175		0.0000		0.4895		0.00038131
15		0.1843		0.2138		0.0000		0.4893		0.00037202
16		0.1828		0.1969		0.0000		0.5107		0.00036271
17		0.1768		0.1934		0.0000		0.5089		0.00035337
18		0.1717		0.2093		0.0000		0.4765		0.00034400
19		0.1778		0.1884		0.0000		0.5250		0.00033460
20		0.1688		0.1992		0.0000		0.4941		0.00032518
21		0.1632		0.2252		0.0000		0.4642		0.00031572
22		0.1670		0.1908		0.0000		0.5145		0.00030624
23		0.1640		0.1950		0.0000		0.5384		0.00029671
24		0.1543		0.1946		0.0000		0.5326		0.00028716
25		0.1531		0.1837		0.0000		0.5425		0.00027757
26		0.1497		0.1823		0.0000		0.5325		0.00026794
27		0.1502		0.2186		0.0000		0.4881		0.00025828
28		0.1485		0.1954		0.0000		0.5288		0.00024857
29		0.1471		0.1769		0.0000		0.5522		0.00023882
30		0.1421		0.1755		0.0000		0.5278		0.00022903
31		0.1414		0.1713		0.0000		0.5584		0.00021919
32		0.1351		0.1793		0.0000		0.5595		0.00020930
33		0.1364		0.1885		0.0000		0.5232		0.00019936
34		0.1329		0.1797		0.0000		0.5343		0.00018937
35		0.1293		0.1659		0.0000		0.5821		0.00017931
36		0.1280		0.1732		0.0000		0.5571		0.00016919
37		0.1250		0.1663		0.0000		0.5800		0.00015901
38		0.1261		0.1725		0.0000		0.5787		0.00014875
39		0.1202		0.1688		0.0000		0.5840		0.00013841
40		0.1208		0.1663		0.0000		0.5805		0.00012798
41		0.1164		0.1659		0.0000		0.5816		0.00011746
42		0.1143		0.1812		0.0000		0.5686		0.00010684
43		0.1125		0.1661		0.0000		0.5921		0.00009609
44		0.1102		0.1664		0.0000		0.5913		0.00008521
45		0.1084		0.1652		0.0000		0.5907		0.00007417
46		0.1054		0.1658		0.0000		0.5997		0.00006295
47		0.1040		0.1650		0.0000		0.6112		0.00005149
48		0.1021		0.1560		0.0000		0.6053		0.00003975
49		0.1002		0.1611		0.0000		0.6115		0.00002759
50		0.0993		0.1615		0.0000		0.6111		0.00001479
