Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.4821		0.6205		0.0000		0.1583		0.00050000
2		0.7193		0.5843		0.0000		0.1998		0.00049099
3		0.6009		0.5193		0.0000		0.2160		0.00048196
4		0.5229		0.4731		0.0000		0.2398		0.00047292
5		0.4649		0.4376		0.0000		0.2583		0.00046385
6		0.4285		0.4082		0.0000		0.2705		0.00045477
7		0.4066		0.4121		0.0000		0.2652		0.00044566
8		0.3713		0.3684		0.0000		0.3114		0.00043653
9		0.3506		0.3454		0.0000		0.3249		0.00042739
10		0.3302		0.3885		0.0000		0.3090		0.00041822
11		0.3085		0.3103		0.0000		0.3547		0.00040903
12		0.2969		0.3949		0.0000		0.3700		0.00039981
13		0.2922		0.2958		0.0000		0.3682		0.00039057
14		0.2710		0.2820		0.0000		0.4000		0.00038131
15		0.2606		0.2862		0.0000		0.3854		0.00037202
16		0.2601		0.2726		0.0000		0.4095		0.00036271
17		0.2439		0.2564		0.0000		0.4265		0.00035337
18		0.2334		0.2390		0.0000		0.4355		0.00034400
19		0.2315		0.2323		0.0000		0.4455		0.00033460
20		0.2191		0.2354		0.0000		0.4582		0.00032518
21		0.2158		0.2320		0.0000		0.4426		0.00031572
22		0.2097		0.2202		0.0000		0.4778		0.00030624
23		0.2008		0.2371		0.0000		0.4449		0.00029671
24		0.1986		0.2314		0.0000		0.4534		0.00028716
25		0.1926		0.2049		0.0000		0.4961		0.00027757
26		0.1933		0.2204		0.0000		0.4821		0.00026794
27		0.1838		0.2470		0.0000		0.4531		0.00025828
28		0.1835		0.2086		0.0000		0.4755		0.00024857
29		0.1746		0.2091		0.0000		0.5107		0.00023882
30		0.1715		0.1919		0.0000		0.5171		0.00022903
31		0.1677		0.2105		0.0000		0.4961		0.00021919
32		0.1651		0.1958		0.0000		0.5018		0.00020930
33		0.1625		0.1931		0.0000		0.5171		0.00019936
34		0.1576		0.1800		0.0000		0.5412		0.00018937
35		0.1562		0.1997		0.0000		0.5078		0.00017931
36		0.1512		0.1759		0.0000		0.5540		0.00016919
37		0.1473		0.1834		0.0000		0.5586		0.00015901
38		0.1434		0.1808		0.0000		0.5459		0.00014875
39		0.1417		0.1737		0.0000		0.5444		0.00013841
40		0.1399		0.1750		0.0000		0.5524		0.00012798
41		0.1367		0.1685		0.0000		0.5655		0.00011746
42		0.1337		0.1680		0.0000		0.5686		0.00010684
43		0.1302		0.1729		0.0000		0.5574		0.00009609
44		0.1267		0.1723		0.0000		0.5818		0.00008521
45		0.1255		0.1665		0.0000		0.5752		0.00007417
46		0.1224		0.1745		0.0000		0.5681		0.00006295
47		0.1193		0.1705		0.0000		0.5851		0.00005149
48		0.1173		0.1620		0.0000		0.5939		0.00003975
49		0.1154		0.1656		0.0000		0.5924		0.00002759
50		0.1125		0.1589		0.0000		0.5960		0.00001479
