Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.3298		0.6590		0.0000		0.3659		0.00050000
2		0.5249		0.5353		0.0000		0.4250		0.00049099
3		0.4232		0.4538		0.0000		0.4779		0.00048196
4		0.3924		0.4142		0.0000		0.4927		0.00047292
5		0.3645		0.4392		0.0000		0.4872		0.00046385
6		0.3402		0.3668		0.0000		0.5361		0.00045477
7		0.3391		0.4246		0.0000		0.4776		0.00044566
8		0.3112		0.4817		0.0000		0.4894		0.00043653
9		0.3268		0.3749		0.0000		0.5381		0.00042739
10		0.3051		0.4008		0.0000		0.5191		0.00041822
11		0.3127		0.3822		0.0000		0.5284		0.00040903
12		0.2945		0.4318		0.0000		0.5218		0.00039981
13		0.2871		0.3593		0.0000		0.5505		0.00039057
14		0.2755		0.4070		0.0000		0.5175		0.00038131
15		0.3048		0.3314		0.0000		0.6066		0.00037202
16		0.2573		0.3325		0.0000		0.5757		0.00036271
17		0.2727		0.3644		0.0000		0.5454		0.00035337
18		0.2665		0.3270		0.0000		0.5732		0.00034400
19		0.2635		0.3203		0.0000		0.5889		0.00033460
20		0.2399		0.3111		0.0000		0.6005		0.00032518
21		0.2508		0.3490		0.0000		0.5819		0.00031572
22		0.2459		0.3093		0.0000		0.5957		0.00030624
23		0.2326		0.3060		0.0000		0.6087		0.00029671
24		0.2335		0.3046		0.0000		0.6190		0.00028716
25		0.2320		0.3233		0.0000		0.5836		0.00027757
26		0.2177		0.2969		0.0000		0.6131		0.00026794
27		0.2191		0.2933		0.0000		0.6138		0.00025828
28		0.2311		0.3136		0.0000		0.6031		0.00024857
29		0.2144		0.2835		0.0000		0.6211		0.00023882
30		0.2087		0.2999		0.0000		0.6165		0.00022903
31		0.2026		0.2923		0.0000		0.6202		0.00021919
32		0.1972		0.2878		0.0000		0.6247		0.00020930
33		0.1952		0.2801		0.0000		0.6435		0.00019936
34		0.1958		0.2812		0.0000		0.6250		0.00018937
35		0.1953		0.2775		0.0000		0.6268		0.00017931
36		0.1822		0.2802		0.0000		0.6395		0.00016919
37		0.1849		0.3540		0.0000		0.5843		0.00015901
38		0.1870		0.2862		0.0000		0.6373		0.00014875
39		0.1761		0.2752		0.0000		0.6588		0.00013841
40		0.1741		0.2734		0.0000		0.6628		0.00012798
41		0.1703		0.2761		0.0000		0.6508		0.00011746
42		0.1658		0.2726		0.0000		0.6566		0.00010684
43		0.1635		0.2749		0.0000		0.6581		0.00009609
44		0.1617		0.2699		0.0000		0.6727		0.00008521
45		0.1597		0.2642		0.0000		0.6667		0.00007417
46		0.1548		0.2679		0.0000		0.6714		0.00006295
47		0.1530		0.2694		0.0000		0.6704		0.00005149
48		0.1513		0.2676		0.0000		0.6640		0.00003975
49		0.1495		0.2663		0.0000		0.6720		0.00002759
50		0.1474		0.2665		0.0000		0.6782		0.00001479
