Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.8388		2.8254		0.0000		0.2673		0.00050000
2		2.8185		2.8187		0.0000		0.3082		0.00049700
1		2.3049		2.2755		0.0000		0.1964		0.00050000
2		2.2377		2.2232		0.0000		0.2542		0.00049700
3		2.2147		2.2145		0.0000		0.2840		0.00049400
4		2.2035		2.2023		0.0000		0.2994		0.00049099
5		2.1948		2.1994		0.0000		0.3051		0.00048798
6		2.1901		2.1979		0.0000		0.3148		0.00048497
7		2.1831		2.2006		0.0000		0.3286		0.00048196
8		2.1807		2.1895		0.0000		0.3540		0.00047895
9		2.1760		2.1828		0.0000		0.3626		0.00047593
10		2.1737		2.1819		0.0000		0.3725		0.00047292
11		2.1717		2.1827		0.0000		0.3802		0.00046990
12		2.1688		2.1754		0.0000		0.3907		0.00046688
13		2.1671		2.1764		0.0000		0.3857		0.00046385
14		2.1650		2.1703		0.0000		0.4075		0.00046083
15		2.1640		2.1779		0.0000		0.3862		0.00045780
16		2.1620		2.1767		0.0000		0.4034		0.00045477
17		2.1606		2.1681		0.0000		0.4154		0.00045173
18		2.1592		2.1688		0.0000		0.4108		0.00044870
19		2.1589		2.1666		0.0000		0.4248		0.00044566
20		2.1572		2.1641		0.0000		0.4317		0.00044262
21		2.1555		2.1661		0.0000		0.4417		0.00043958
22		2.1543		2.1672		0.0000		0.4337		0.00043653
23		2.1534		2.1629		0.0000		0.4429		0.00043349
24		2.1536		2.1650		0.0000		0.4329		0.00043044
1		1.0448		0.8514		0.0000		0.2353		0.00050000
2		0.6750		0.6552		0.0000		0.3027		0.00049700
3		0.5758		0.7474		0.0000		0.3075		0.00049400
4		0.5237		0.5323		0.0000		0.3504		0.00049099
5		0.4850		0.4757		0.0000		0.3924		0.00048798
6		0.4549		0.4906		0.0000		0.3964		0.00048497
7		0.4287		0.5810		0.0000		0.3648		0.00048196
8		0.4119		0.4664		0.0000		0.4037		0.00047895
9		0.3872		0.4556		0.0000		0.4286		0.00047593
10		0.3846		0.4245		0.0000		0.4409		0.00047292
11		0.3622		0.4261		0.0000		0.4320		0.00046990
12		0.3575		0.3995		0.0000		0.4627		0.00046688
13		0.3469		0.3556		0.0000		0.4938		0.00046385
14		0.3391		0.3592		0.0000		0.4954		0.00046083
15		0.3238		0.3628		0.0000		0.4806		0.00045780
16		0.3199		0.3525		0.0000		0.5007		0.00045477
17		0.3185		0.3772		0.0000		0.4734		0.00045173
18		0.3073		0.3918		0.0000		0.4485		0.00044870
19		0.3025		0.3439		0.0000		0.4983		0.00044566
20		0.2928		0.3364		0.0000		0.5082		0.00044262
21		0.2900		0.3180		0.0000		0.5251		0.00043958
22		0.2839		0.3474		0.0000		0.4876		0.00043653
23		0.2822		0.3240		0.0000		0.5172		0.00043349
24		0.2728		0.3410		0.0000		0.5222		0.00043044
25		0.2842		0.3283		0.0000		0.5250		0.00042739
26		0.2695		0.3316		0.0000		0.5360		0.00042433
27		0.2569		0.2892		0.0000		0.5697		0.00042128
28		0.2578		0.3185		0.0000		0.5337		0.00041822
29		0.2647		0.3058		0.0000		0.5602		0.00041516
30		0.2549		0.3255		0.0000		0.5305		0.00041209
31		0.2512		0.3149		0.0000		0.5365		0.00040903
32		0.2450		0.2926		0.0000		0.5692		0.00040596
1		1.0613		0.7725		0.0000		0.2614		0.00050000
2		0.6663		0.6726		0.0000		0.2897		0.00049099
3		0.5693		0.6119		0.0000		0.3215		0.00048196
4		0.5091		0.5409		0.0000		0.3588		0.00047292
5		0.4731		0.4943		0.0000		0.3835		0.00046385
6		0.4412		0.5002		0.0000		0.3841		0.00045477
7		0.4208		0.4786		0.0000		0.4110		0.00044566
8		0.4063		0.4633		0.0000		0.4119		0.00043653
9		0.3815		0.4077		0.0000		0.4474		0.00042739
10		0.3653		0.3855		0.0000		0.4576		0.00041822
11		0.3563		0.4492		0.0000		0.4281		0.00040903
12		0.3483		0.3915		0.0000		0.4687		0.00039981
13		0.3399		0.3903		0.0000		0.4754		0.00039057
14		0.3218		0.3573		0.0000		0.4739		0.00038131
15		0.3138		0.3607		0.0000		0.4971		0.00037202
16		0.3074		0.3342		0.0000		0.5027		0.00036271
17		0.3003		0.4122		0.0000		0.4684		0.00035337
18		0.2960		0.3526		0.0000		0.5051		0.00034400
19		0.2923		0.3528		0.0000		0.5197		0.00033460
20		0.2799		0.3168		0.0000		0.5276		0.00032518
21		0.2717		0.3205		0.0000		0.5265		0.00031572
22		0.2663		0.3600		0.0000		0.4972		0.00030624
23		0.2612		0.3033		0.0000		0.5568		0.00029671
24		0.2562		0.2978		0.0000		0.5453		0.00028716
25		0.2561		0.2979		0.0000		0.5484		0.00027757
26		0.2448		0.3282		0.0000		0.5194		0.00026794
27		0.2415		0.3006		0.0000		0.5686		0.00025828
28		0.2381		0.3230		0.0000		0.5513		0.00024857
29		0.2350		0.2854		0.0000		0.5791		0.00023882
30		0.2251		0.2840		0.0000		0.5644		0.00022903
31		0.2266		0.2720		0.0000		0.5912		0.00021919
32		0.2208		0.3052		0.0000		0.5634		0.00020930
33		0.2145		0.2617		0.0000		0.6114		0.00019936
34		0.2140		0.2781		0.0000		0.5735		0.00018937
35		0.2061		0.2643		0.0000		0.5907		0.00017931
36		0.1998		0.2682		0.0000		0.6101		0.00016919
37		0.1993		0.2674		0.0000		0.6033		0.00015901
38		0.1961		0.2646		0.0000		0.6119		0.00014875
39		0.1896		0.2805		0.0000		0.6006		0.00013841
