Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.8011		0.7737		0.0000		0.2935		0.00050000
2		0.6144		0.5111		0.0000		0.3851		0.00049099
3		0.4520		0.4794		0.0000		0.4310		0.00048196
4		0.3910		0.3852		0.0000		0.4982		0.00047292
5		0.3555		0.3717		0.0000		0.5005		0.00046385
6		0.3393		0.3485		0.0000		0.5387		0.00045477
7		0.3163		0.3418		0.0000		0.5360		0.00044566
8		0.3044		0.3436		0.0000		0.5558		0.00043653
9		0.2928		0.3141		0.0000		0.5709		0.00042739
10		0.2815		0.3147		0.0000		0.5878		0.00041822
11		0.2740		0.3559		0.0000		0.5732		0.00040903
12		0.2685		0.3003		0.0000		0.5967		0.00039981
13		0.2673		0.3059		0.0000		0.6021		0.00039057
14		0.2508		0.3164		0.0000		0.5817		0.00038131
15		0.2429		0.3255		0.0000		0.5577		0.00037202
16		0.2484		0.2923		0.0000		0.6139		0.00036271
17		0.2351		0.3010		0.0000		0.5982		0.00035337
18		0.2231		0.2955		0.0000		0.6077		0.00034400
19		0.2349		0.2843		0.0000		0.6321		0.00033460
20		0.2194		0.2731		0.0000		0.6320		0.00032518
21		0.2278		0.3020		0.0000		0.6063		0.00031572
22		0.2131		0.2726		0.0000		0.6288		0.00030624
23		0.2013		0.2874		0.0000		0.6101		0.00029671
24		0.1976		0.2726		0.0000		0.6458		0.00028716
25		0.2080		0.3276		0.0000		0.5902		0.00027757
26		0.2002		0.2721		0.0000		0.6389		0.00026794
27		0.1890		0.2784		0.0000		0.6386		0.00025828
28		0.1825		0.2653		0.0000		0.6534		0.00024857
29		0.1887		0.2633		0.0000		0.6452		0.00023882
30		0.1793		0.2853		0.0000		0.6435		0.00022903
31		0.1820		0.4602		0.0000		0.5486		0.00021919
32		0.1957		0.2672		0.0000		0.6340		0.00020930
33		0.1714		0.2569		0.0000		0.6708		0.00019936
34		0.1714		0.2744		0.0000		0.6635		0.00018937
35		0.1641		0.2805		0.0000		0.6464		0.00017931
36		0.1670		0.2742		0.0000		0.6628		0.00016919
37		0.1594		0.2529		0.0000		0.6822		0.00015901
38		0.1547		0.2567		0.0000		0.6829		0.00014875
39		0.1535		0.2773		0.0000		0.6551		0.00013841
40		0.1494		0.2647		0.0000		0.6747		0.00012798
41		0.1479		0.2601		0.0000		0.6832		0.00011746
42		0.1459		0.2528		0.0000		0.6733		0.00010684
43		0.1452		0.2745		0.0000		0.6798		0.00009609
44		0.1404		0.2553		0.0000		0.6904		0.00008521
45		0.1386		0.2559		0.0000		0.6884		0.00007417
46		0.1372		0.2595		0.0000		0.6950		0.00006295
47		0.1343		0.2497		0.0000		0.7015		0.00005149
48		0.1322		0.2553		0.0000		0.6966		0.00003975
49		0.1305		0.2546		0.0000		0.6983		0.00002759
50		0.1288		0.2578		0.0000		0.6997		0.00001479
