Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.0171		0.4623		0.0000		0.2770		0.00050000
2		0.3943		0.3617		0.0000		0.3246		0.00049099
3		0.3297		0.3702		0.0000		0.2973		0.00048196
4		0.2792		0.2755		0.0000		0.3713		0.00047292
5		0.2502		0.3224		0.0000		0.3609		0.00046385
6		0.2269		0.2672		0.0000		0.4056		0.00045477
7		0.2166		0.2303		0.0000		0.4369		0.00044566
8		0.2010		0.2410		0.0000		0.4370		0.00043653
9		0.1991		0.2830		0.0000		0.4145		0.00042739
10		0.1905		0.2110		0.0000		0.4889		0.00041822
11		0.1933		0.2312		0.0000		0.4649		0.00040903
12		0.1786		0.2120		0.0000		0.4579		0.00039981
13		0.1940		0.2118		0.0000		0.4895		0.00039057
14		0.1822		0.2095		0.0000		0.4557		0.00038131
15		0.1685		0.2061		0.0000		0.4911		0.00037202
16		0.1689		0.1965		0.0000		0.4899		0.00036271
17		0.1709		0.2183		0.0000		0.4647		0.00035337
18		0.1625		0.1871		0.0000		0.5153		0.00034400
19		0.1619		0.2243		0.0000		0.4829		0.00033460
20		0.1595		0.1861		0.0000		0.5417		0.00032518
21		0.1541		0.1917		0.0000		0.5016		0.00031572
22		0.1549		0.1792		0.0000		0.5359		0.00030624
23		0.1498		0.1930		0.0000		0.5263		0.00029671
24		0.1490		0.1957		0.0000		0.5151		0.00028716
25		0.1542		0.1782		0.0000		0.5362		0.00027757
26		0.1433		0.1604		0.0000		0.5723		0.00026794
27		0.1374		0.1586		0.0000		0.5677		0.00025828
28		0.1394		0.1696		0.0000		0.5267		0.00024857
29		0.1417		0.1657		0.0000		0.5476		0.00023882
30		0.1398		0.1634		0.0000		0.5570		0.00022903
31		0.1313		0.1638		0.0000		0.5632		0.00021919
32		0.1318		0.1602		0.0000		0.5718		0.00020930
33		0.1303		0.1578		0.0000		0.5644		0.00019936
34		0.1269		0.1613		0.0000		0.5625		0.00018937
35		0.1279		0.1631		0.0000		0.5654		0.00017931
36		0.1216		0.1537		0.0000		0.5859		0.00016919
37		0.1184		0.1514		0.0000		0.5821		0.00015901
38		0.1162		0.1586		0.0000		0.5737		0.00014875
39		0.1175		0.1596		0.0000		0.5766		0.00013841
40		0.1140		0.1565		0.0000		0.5908		0.00012798
41		0.1120		0.1497		0.0000		0.5873		0.00011746
42		0.1083		0.1512		0.0000		0.6055		0.00010684
43		0.1069		0.1493		0.0000		0.5954		0.00009609
44		0.1059		0.1492		0.0000		0.6142		0.00008521
45		0.1046		0.1490		0.0000		0.6103		0.00007417
46		0.1006		0.1517		0.0000		0.6050		0.00006295
47		0.0985		0.1458		0.0000		0.6118		0.00005149
48		0.0978		0.1473		0.0000		0.6223		0.00003975
49		0.0955		0.1500		0.0000		0.6138		0.00002759
50		0.0939		0.1494		0.0000		0.6198		0.00001479
