Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.8284		0.5501		0.0000		0.2394		0.00050000
2		0.4943		0.4756		0.0000		0.2606		0.00049099
3		0.4076		0.3682		0.0000		0.3153		0.00048196
4		0.3541		0.3400		0.0000		0.3261		0.00047292
5		0.3179		0.3272		0.0000		0.3468		0.00046385
6		0.3016		0.3743		0.0000		0.3281		0.00045477
7		0.2868		0.3140		0.0000		0.3562		0.00044566
8		0.2673		0.2970		0.0000		0.3538		0.00043653
9		0.2594		0.2662		0.0000		0.4070		0.00042739
10		0.2452		0.3110		0.0000		0.3826		0.00041822
11		0.2411		0.2567		0.0000		0.4212		0.00040903
12		0.2353		0.2442		0.0000		0.4445		0.00039981
13		0.2229		0.2683		0.0000		0.4137		0.00039057
14		0.2199		0.2278		0.0000		0.4495		0.00038131
15		0.2128		0.2393		0.0000		0.4575		0.00037202
16		0.2056		0.2205		0.0000		0.4607		0.00036271
17		0.1982		0.2332		0.0000		0.4699		0.00035337
18		0.1978		0.2608		0.0000		0.4316		0.00034400
19		0.1909		0.2038		0.0000		0.4924		0.00033460
20		0.1832		0.2171		0.0000		0.4896		0.00032518
21		0.1805		0.2440		0.0000		0.4472		0.00031572
22		0.1791		0.1913		0.0000		0.5270		0.00030624
23		0.1734		0.1855		0.0000		0.5354		0.00029671
24		0.1714		0.2038		0.0000		0.4933		0.00028716
25		0.1721		0.2172		0.0000		0.4835		0.00027757
26		0.1655		0.2036		0.0000		0.5099		0.00026794
27		0.1621		0.1790		0.0000		0.5257		0.00025828
28		0.1548		0.1949		0.0000		0.5139		0.00024857
29		0.1531		0.1748		0.0000		0.5265		0.00023882
30		0.1524		0.1826		0.0000		0.5354		0.00022903
31		0.1508		0.1901		0.0000		0.5309		0.00021919
32		0.1453		0.1713		0.0000		0.5468		0.00020930
33		0.1435		0.1728		0.0000		0.5410		0.00019936
34		0.1488		0.1754		0.0000		0.5453		0.00018937
35		0.1375		0.1689		0.0000		0.5401		0.00017931
36		0.1349		0.1641		0.0000		0.5548		0.00016919
37		0.1334		0.1661		0.0000		0.5601		0.00015901
38		0.1292		0.1543		0.0000		0.5766		0.00014875
39		0.1273		0.1566		0.0000		0.5815		0.00013841
40		0.1258		0.1543		0.0000		0.5751		0.00012798
41		0.1232		0.1571		0.0000		0.5782		0.00011746
42		0.1211		0.1589		0.0000		0.5713		0.00010684
43		0.1186		0.1501		0.0000		0.5850		0.00009609
44		0.1145		0.1551		0.0000		0.5896		0.00008521
45		0.1130		0.1510		0.0000		0.5949		0.00007417
46		0.1106		0.1485		0.0000		0.6037		0.00006295
47		0.1088		0.1483		0.0000		0.6005		0.00005149
48		0.1070		0.1475		0.0000		0.6055		0.00003975
49		0.1038		0.1465		0.0000		0.6097		0.00002759
50		0.1021		0.1450		0.0000		0.6146		0.00001479
