Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		1.1543		0.7562		0.0000		0.2676		0.00050000
2		0.5915		0.5704		0.0000		0.3364		0.00049099
3		0.4558		0.5226		0.0000		0.3935		0.00048196
4		0.4072		0.4583		0.0000		0.4473		0.00047292
5		0.3755		0.4247		0.0000		0.4651		0.00046385
6		0.3529		0.3976		0.0000		0.4813		0.00045477
7		0.3309		0.4189		0.0000		0.4729		0.00044566
8		0.3312		0.3556		0.0000		0.5303		0.00043653
9		0.3058		0.3726		0.0000		0.5174		0.00042739
10		0.2971		0.4199		0.0000		0.5085		0.00041822
11		0.2830		0.3481		0.0000		0.5467		0.00040903
12		0.2845		0.3467		0.0000		0.5361		0.00039981
13		0.2980		0.3655		0.0000		0.5584		0.00039057
14		0.2837		0.3723		0.0000		0.5583		0.00038131
15		0.2679		0.3398		0.0000		0.5642		0.00037202
16		0.2582		0.3363		0.0000		0.5486		0.00036271
17		0.2629		0.3235		0.0000		0.5705		0.00035337
18		0.2539		0.3168		0.0000		0.5904		0.00034400
19		0.2549		0.3350		0.0000		0.5681		0.00033460
20		0.2433		0.3983		0.0000		0.5523		0.00032518
21		0.2479		0.3240		0.0000		0.5836		0.00031572
22		0.2373		0.3165		0.0000		0.5772		0.00030624
23		0.2292		0.3254		0.0000		0.5822		0.00029671
24		0.2325		0.3346		0.0000		0.5751		0.00028716
25		0.2300		0.3364		0.0000		0.5746		0.00027757
26		0.2167		0.2883		0.0000		0.6021		0.00026794
27		0.2242		0.3179		0.0000		0.5912		0.00025828
28		0.2123		0.3222		0.0000		0.5999		0.00024857
29		0.2205		0.2943		0.0000		0.6197		0.00023882
30		0.2060		0.2993		0.0000		0.6176		0.00022903
31		0.2171		0.2802		0.0000		0.6338		0.00021919
32		0.1980		0.3408		0.0000		0.5965		0.00020930
33		0.1976		0.2906		0.0000		0.6162		0.00019936
34		0.1918		0.2964		0.0000		0.6330		0.00018937
35		0.1943		0.2740		0.0000		0.6397		0.00017931
36		0.1838		0.2725		0.0000		0.6425		0.00016919
37		0.1828		0.2751		0.0000		0.6404		0.00015901
38		0.1787		0.2727		0.0000		0.6395		0.00014875
39		0.1744		0.3113		0.0000		0.6142		0.00013841
40		0.1813		0.2761		0.0000		0.6512		0.00012798
41		0.1731		0.2778		0.0000		0.6333		0.00011746
42		0.1704		0.2683		0.0000		0.6572		0.00010684
43		0.1654		0.2686		0.0000		0.6602		0.00009609
44		0.1615		0.2693		0.0000		0.6601		0.00008521
45		0.1599		0.2701		0.0000		0.6643		0.00007417
46		0.1593		0.2639		0.0000		0.6735		0.00006295
47		0.1573		0.2602		0.0000		0.6749		0.00005149
48		0.1536		0.2631		0.0000		0.6755		0.00003975
49		0.1518		0.2602		0.0000		0.6763		0.00002759
50		0.1506		0.2573		0.0000		0.6778		0.00001479
