Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		0.9151		0.8415		0.0000		0.2250		0.00050000
2		0.6360		0.5955		0.0000		0.3203		0.00049099
3		0.5415		0.5558		0.0000		0.3390		0.00048196
4		0.4897		0.5673		0.0000		0.3460		0.00047292
5		0.4537		0.5234		0.0000		0.3786		0.00046385
6		0.4261		0.4899		0.0000		0.3940		0.00045477
7		0.4070		0.4630		0.0000		0.4126		0.00044566
8		0.3903		0.4209		0.0000		0.4325		0.00043653
9		0.3674		0.4160		0.0000		0.4345		0.00042739
10		0.3565		0.4451		0.0000		0.4403		0.00041822
11		0.3440		0.3726		0.0000		0.4787		0.00040903
12		0.3431		0.4004		0.0000		0.4423		0.00039981
13		0.3271		0.3807		0.0000		0.4699		0.00039057
14		0.3173		0.3832		0.0000		0.4668		0.00038131
15		0.3067		0.3509		0.0000		0.4973		0.00037202
16		0.3039		0.3311		0.0000		0.5117		0.00036271
17		0.2908		0.3255		0.0000		0.5171		0.00035337
18		0.2833		0.3247		0.0000		0.5299		0.00034400
19		0.2785		0.3147		0.0000		0.5348		0.00033460
20		0.2723		0.3170		0.0000		0.5307		0.00032518
21		0.2692		0.3257		0.0000		0.5179		0.00031572
22		0.2629		0.3165		0.0000		0.5407		0.00030624
23		0.2600		0.3020		0.0000		0.5443		0.00029671
24		0.2538		0.3071		0.0000		0.5541		0.00028716
25		0.2432		0.2888		0.0000		0.5598		0.00027757
26		0.2395		0.3099		0.0000		0.5406		0.00026794
27		0.2371		0.2762		0.0000		0.5839		0.00025828
28		0.2301		0.3195		0.0000		0.5335		0.00024857
29		0.2363		0.2746		0.0000		0.5874		0.00023882
30		0.2209		0.2733		0.0000		0.5836		0.00022903
31		0.2202		0.2683		0.0000		0.5857		0.00021919
32		0.2149		0.2708		0.0000		0.5894		0.00020930
33		0.2064		0.2664		0.0000		0.5977		0.00019936
34		0.2085		0.2756		0.0000		0.5854		0.00018937
35		0.2114		0.2618		0.0000		0.5872		0.00017931
36		0.1988		0.2575		0.0000		0.6037		0.00016919
37		0.1946		0.2517		0.0000		0.6224		0.00015901
38		0.1960		0.2623		0.0000		0.6174		0.00014875
39		0.1945		0.2474		0.0000		0.6169		0.00013841
40		0.1847		0.2530		0.0000		0.6114		0.00012798
41		0.1806		0.2507		0.0000		0.6105		0.00011746
42		0.1767		0.2452		0.0000		0.6279		0.00010684
43		0.1767		0.2492		0.0000		0.6183		0.00009609
44		0.1722		0.2443		0.0000		0.6299		0.00008521
45		0.1686		0.2437		0.0000		0.6325		0.00007417
46		0.1659		0.2404		0.0000		0.6337		0.00006295
47		0.1636		0.2346		0.0000		0.6377		0.00005149
48		0.1607		0.2381		0.0000		0.6360		0.00003975
49		0.1586		0.2360		0.0000		0.6384		0.00002759
50		0.1564		0.2326		0.0000		0.6436		0.00001479
